Id,Name,Date,Rating,Popularity,Length,Tags
363,Clover Day's,2014-03-28,7.68,4.88,Long,"['Deredere Heroine', 'Few Choices', 'Multiple Endings', ""Protagonist's Younger Sister as a Heroine"", 'Slice of Life', 'Romance', 'Comedy', 'Floating Textbox', 'Modern Day Japan', 'Male Protagonist', 'Colored Texts', 'Twin Sisters as Heroines', 'Orphan Protagonist', ""Protagonist's Childhood Friend as a Heroine"", ""Protagonist's Non-blood-related Sister as a Heroine"", 'Siscon Protagonist', 'Brocon Heroine', 'Only Virgin Heroines', 'Other Perspectives', 'Reunion', ""Super Deformed CG's"", 'ADV', 'Sprite Viewer', 'Bleep Censor', 'Branching Plot', 'Censored Text', 'Highly Animated Sprites', 'Protagonist with a Face']"
364,Heart de Roommate,2003-01-24,6.06,4.87,Medium,"['Cross-dressing', 'Under the Same Roof', 'Episodic Story', 'Emotionless Heroine', 'School Dormitory', 'Childishly Violent Heroine', 'ADV', 'Unlockable Side Stories', 'Heroine with Ahoge', ""Super Deformed CG's"", 'Tomboy Heroine', 'Unlockable Hero(ine)', 'Hetare Protagonist', 'School Life Comedy', 'Slice of Life Comedy', 'Comedy', 'Protagonist with a Face', 'Bad Ending(s)', 'Branching Plot', 'Multiple Endings', 'Trap Protagonist', 'Classic Tsundere Heroine', 'Timid Heroine', 'Protagonist with Glasses', 'Open Ending(s)', 'Nakige', 'Game Over', 'Naked Sprites']"
365,Sakura Swim Club,2015-09-11,5.59,4.83,Short,"['ADV', 'Flat Tints Only', 'School Sports Club Member Heroine', 'Linear Plot', 'Heroine with Swimsuits', 'Swimming Club', 'Single Ending', 'Japanese Voice Acting (For Non-OJLVNs)', 'Comedic Love Triangle', 'Heroine with Big Breasts', 'High School', 'High School Student Heroine', 'Laid-back Heroine', 'Male Protagonist', 'Modern Day', 'Modern Day Japan', 'Modern Tsundere Heroine', 'No Opening Movie', 'School Sports Club Member Protagonist', 'Transfer Student Protagonist', 'Only Good Endings', 'Brief Branches Only', 'Panchira', 'Meaningless Choices', 'Colored Name-tags', 'Lots of Choices', 'Harem Ending']"
366,Suika,2001-07-27,6.73,4.83,Medium,"['Fictional Modern Day Japanese Countryside', 'Life and Death Drama', 'Multiple Protagonists', 'Normal Scene Recollection', ""Protagonist's Younger Sister as a Heroine"", 'Slice of Life Drama', 'Summer', 'Twin Sisters as Heroines', 'Unlockable Prologue', 'Unnamed Heroine', 'Other Perspectives', 'Bokukko Heroine', 'Episodic Story', 'Unlockable Side Stories', 'Jealousy', 'Flashback', 'Albino Heroine', 'Protagonist in Relationship', ""Protagonist's Sister as a Support Character"", 'Under the Same Roof', 'Male Protagonist', 'Enforced Playing Order', 'Multiple Endings', 'Unlockable Routes', 'ADV', 'NVL', 'Bad Ending(s)', 'Branching Plot', 'Brief Branches Only', 'Completion Status Indicator']"
367,LOVELY x CATION,2011-06-24,7.33,4.82,Medium,"['Dating Simulation', 'High School Student Heroine', 'High School Student Protagonist', 'Protagonist with Voiced Changeable Names', 'Slice of Life', 'Early Branching Plot', 'Student-Teacher Romance', 'Map Movement', 'Romance', 'High School', 'Multiple Endings', 'ADV', 'P.E. Teacher Heroine', 'Male Protagonist', 'Adult Heroine', 'Arcade', 'Correct Choice Indicator', 'Gamer Heroine', 'Glasses Option', 'Heroine with Big Breasts', 'Heroine with Swimsuits', 'Orphan Protagonist', 'Ponytail Heroine', 'Unlockable Choices', 'Unlockable Side Stories', 'Nameable Protagonist', 'Bad Ending(s)', 'Date Display', 'Branching Plot']"
368,SeaBed,2016-01-25,7.95,4.80,Medium,"['Multiple Protagonists', 'Psychological Problems', 'NVL', 'Mystery', 'Flashback', 'Kinetic Novel', 'Slice of Life Drama', 'Female Protagonist', ""Protagonist's Childhood Friend as a Heroine"", 'Adult Heroine', 'Western-style Mansion', 'Adult Protagonist', 'No Sexual Content', 'Protagonist with a Face', 'Girl x Girl Romance Only', 'Amnesiac Protagonist', 'Photographic Backgrounds', 'Traveler Protagonist', 'Protagonist in Relationship', 'Under the Same Roof', '20th Century', 'Lots of Event CGs', 'Single Ending', 'Unlockable Side Stories', 'Episodic Story']"
369,Iwaihime,2016-01-29,6.87,4.78,Medium,"['Heisei Era', 'Linear Plot', 'Male Protagonist', 'No ""Keep Voice on Click"" Option', 'Protagonist with a Face', 'Protagonist with a Sprite', 'Protagonist with Voice Acting', 'Gore', 'Descriptions of Violence', 'Madness', 'Deredere Heroine', 'Destiny', 'Dream', 'Flashback', 'High School Student Heroine', 'High School Student Protagonist', 'Student Club Member Protagonist', 'Thriller', 'Horror', 'Desperation', 'Ambient Sounds', 'Episodic Story', 'Other Perspectives', 'ADV', 'Female Protagonist for a Short Time', 'Music Recollection', 'Third-person Narrative']"
370,Sono Hanabira ni Kuchizuke o: Kuchibiru to Kiss de Tsubuyaite,2008-12-05,6.86,4.77,Short,"['High School', 'High School Student Protagonist', 'Lesbian Heroine', 'Lesbian Protagonist', 'Only a Single Heroine', 'Protagonist in Relationship', 'Protagonist with a Face', 'Protagonist with a Sprite', 'All-girls School', 'Protagonist with Voice Acting', 'Girl x Girl Romance Only', 'Romance', 'Student Heroine', 'ADV', 'Modern Day Japan', 'School Life Comedy', 'Linear Plot', 'Female Protagonist', 'Girl x Girl Romance', 'Brief Branches Only', 'Single Ending', ""Protagonist's Senpai as a Heroine"", 'Naked Sprites', ""Super Deformed CG's"", 'Music Recollection']"
371,Nukige Mitai na Shima ni Sunderu Watashi wa Dou Surya Ii Desu ka?,2018-07-27,7.80,4.77,Long,"['Island', 'Male Protagonist', 'Normal Scene Recollection', 'On the Run', 'Comedy', 'Multiple Endings', 'ADV', 'Group of Friends', 'Protagonist with Glasses', 'Rebellion', 'Bleep Censor', 'Branching Plot', 'Brocon Heroine', 'Combat with Exotic Weapons', 'Fictional Modern Day Japanese Island', 'Flashback', 'Heroine with Big Breasts', 'Heroine with Expressive Ahoge', 'Heroine with Sexual Experience', 'Heroine with Swimsuits', 'Protagonist with a Face', 'Side Portraits', 'Naked Sprites', 'Other Perspectives']"
372,BLAZBLUE CONTINUUM SHIFT,2009-11-20,7.32,4.76,Long,"['One True End', 'Urban Fantasy', 'Fighting Game', 'Fighting Protagonist', 'Multiplayer Game', 'No Sexual Content', 'Future Setting in a Fictional World', 'Multiple Endings', 'ADV', 'Fictional Beings', 'Online', 'Sword Combat', 'Yandere Hero', 'Multiple Protagonists', 'Identity Crisis', 'Post Apocalyptic Earth', 'Science Fantasy', 'Unique Routes', 'Ninja Protagonist', 'Unarmed Combat', 'Vampire Heroine', 'Protagonist with Heterochromia', 'Artificial Intelligence', 'Catgirl Heroine', 'Achievements', 'Bad Ending(s)', 'Bad Endings with Story', 'Completion Status Indicator', 'Difficulty Settings', 'Joke Endings']"
373,Bishoujo Mangekyou -Wasurenagusa to Eien no Shoujo-,2012-07-27,7.14,4.75,Short,"[""Protagonist's Childhood Friend as a Heroine"", 'ADV', 'Male Protagonist', 'Music Recollection', 'One True End', 'Pure Love Story', 'No Opening Movie', 'Sudden Girlfriend Appearance', 'Heroine with Big Breasts', 'High School Student Heroine', 'Unlockable Gallery', 'Multiple Endings', 'Mid-game Videos', 'Naked Heroine with Apron', 'Kissing Scene', 'Animated Ending', 'Has Window Transparency Setting', 'Varied Title Screens', 'Idol Heroine']"
374,Zombie no Afureta Sekai de Ore Dake ga Osowarenai vol.3,2018-04-13,7.02,4.73,Short,"['Apocalypse', 'Based on a Web Novel', 'Pragmatic Protagonist', 'Zombie', 'Few Choices', 'Protagonist with a Face', 'NVL', 'Third-person Narrative', 'Episodic Story', 'Male Protagonist', 'Combat with Firearms', 'Descriptions of Violence', 'Life and Death Drama', 'Unlockable Gallery', 'Adult Protagonist', 'Combat Capable Friends', 'Music Recollection', 'Open Ending(s)', 'Other Perspectives', 'Tsundere Heroine', 'Unlockable Side Stories', 'Multiple Endings', 'Female Protagonist for a Short Time', 'Flashback', 'Post Apocalyptic Earth', 'Zombie Heroine', 'Driver Protagonist', 'Literary Adaptation']"
375,Kyonyuu Fantasy 2,2012-05-25,7.47,4.71,Medium,"['Heroine with Huge Breasts', 'Rags to Riches', 'Non-human Heroine', 'Fantasy', 'Romance', 'Harem Ending', 'Male Protagonist', 'Past Setting in a Fictional World', 'Elf Heroine', 'ADV', 'Castle', 'Demons', 'Medieval Fantasy', 'Politics', 'Fighting Heroine', 'Bodyguard Heroine', 'Comedy', 'Multiple Endings', 'Author Commentary', 'One True End', 'Other Perspectives']"
376,"don't take it personally, babe, it just ain't your story",2011-04-02,6.24,4.70,Short,"['ADV', 'High School', 'High School Student Heroine', 'Male Protagonist', 'Protagonist with a Face', 'Social Networking Service', 'Teacher Protagonist', 'Adult Protagonist', 'Protagonist with Glasses', 'Date Display', 'Adolescent Romance', 'Side Portraits', 'LGBTQ Issues', 'No Sexual Content', 'Homosexual Support Character', 'Multiple Endings', 'Episodic Story', 'Epistolary Storytelling', 'Heroine with Glasses', 'School Life Comedy', 'Sexual Innuendo', 'Stock Sprites', 'Student Heroine', 'Girl x Girl Romance', 'NaNoRenO', 'Brief Branches Only', 'Graphic Style Change', 'Metafiction']"
377,Harem☆Party,2006-11-17,5.91,4.69,Medium,"['Under the Same Roof', 'Only Virgin Heroines', 'Magic', 'Airhead Heroine', 'Elf Heroine', 'Clumsy Heroine', 'Male Protagonist', 'Mage Heroine', 'Loli Heroine', 'Kemonomimi Heroine', 'Royal Heroine', ""Super Deformed CG's"", 'Knight Heroine', 'ADV', 'Heroine with Armor', 'Modern Day Japan', 'Magic/ESP Combat', 'Protagonist with a Face', 'Harem Ending']"
378,Imouto Ijime,2009-12-25,5.20,4.68,Short,"['Brocon Heroine', 'Brother/Sister Romance', 'Deredere Heroine', 'Only Virgin Heroines', 'Siscon Protagonist', 'Only a Single Heroine', ""Protagonist's Non-blood-related Sister as a Heroine"", ""Protagonist's Younger Sister as a Heroine"", 'Heroine with Shorts', 'ADV', 'Multiple Endings', 'Under the Same Roof', 'Few Choices', 'Floating Textbox', 'Protagonist as the Only Male', 'Student Heroine', 'Male Protagonist', 'Bleep Censor', 'Domicile', 'Modern Day Japan', 'Music Recollection', ""Narrating Others' Thoughts"", 'Other Perspectives', 'Unlockable Choices', 'Unlockable Routes', 'Branching Plot']"
379,Digital: A Love Story,2010-02-28,6.89,4.67,Short,"[""80's"", 'Epistolary Storytelling', 'Hacking', 'Internet', 'Linear Plot', 'No Character Sprites', 'No Sexual Content', 'Operating System Simulation', 'Player as a Character', 'Only a Single Heroine', 'Infodumping', 'NaNoRenO', 'Interactive Adventure Game', 'Pixel Art', 'Social Networking Service', 'Unknown Gender Protagonist', 'Mystery', 'Cyberpunk']"
380,Layton-kyouju VS Gyakuten Saiban,2012-11-29,7.21,4.67,Medium,"['Adult Protagonist', 'ADV', 'Battle of Wits', 'Courtroom', 'Crime', 'Crossover', 'Detective Work', 'Drama', 'Interactive Adventure Game', 'Lawyer Protagonist', 'Linear Plot', 'Magic', 'Map Movement', 'Mid-game Videos', 'Murder Mystery', 'Mystery', 'No Romance Plot', 'Protagonist with a Face', 'Protagonist with Partial Voice Acting', 'Multiple Protagonists', 'Male Protagonist', 'No Sexual Content', 'Puzzle Game', 'Witch Heroine', 'Realtime 3D', 'Highly Animated Sprites', 'Unlockable Bonus Content', 'Unlockable Concept Art', 'Europe', 'Child Protagonist']"
381,Pururun Café,2004-12-17,6.05,4.66,Short,"['Male Protagonist', 'Multiple Endings', 'Waitress Heroine', 'ADV', 'Co-worker Heroine', 'Protagonist with Sexual Experience', 'Divorcee Heroine', 'Modern Day', 'Big Breast Sizes Heroine', 'Adult Heroine', 'Married Heroine', 'Only Adult Heroines', 'Pregnancy', 'Martial Artist Heroine', ""Protagonist's Boss as a Heroine"", 'Foreigner Heroine', 'Businesswoman Heroine', 'Branching Plot']"
382,Loca Love - Dousei x Kouhai,2018-10-26,6.82,4.62,Short,"['Heroine with Big Breasts', 'Only a Single Heroine', 'Romance', 'Under the Same Roof', 'ADV', 'Male Protagonist', ""Protagonist's Kouhai as a Heroine"", 'Student Heroine', 'Student Protagonist', 'Kinetic Novel', 'Co-worker Heroine', 'Only Virgin Heroines', 'Pillow Talk', 'Pure Love Story', 'Drama', 'Yamato Nadeshiko Heroine', 'Miko Heroine']"
383,Grisaia: Phantom Trigger Vol. 1,2017-04-28,6.92,4.61,Short,"['Episodic Story', 'Kinetic Novel', 'Slice of Life Comedy', 'Assassin Heroine', 'Modern Day Japan', 'School Life Comedy', 'Sexual Innuendo', 'Sniper Heroine', 'Achievements', 'Bloody Scenes', 'Combat with Firearms', 'Half-Japanese Heroine', 'Homicide', 'Kunoichi Heroine', 'No Sexual Content', 'Orphan Heroine', 'Other Perspectives', 'Protagonist with a Face', ""Super Deformed CG's"", 'Food Discussions', 'ADV', 'Dark Skinned Characters', 'Duel', 'Protagonist with a Sprite', 'Read Text Marking', 'Voiced Thoughts']"
384,LOVELY x CATION 2,2013-04-26,7.58,4.59,Long,"['Branching Plot', 'Date Display', 'Early Branching Plot', 'Protagonist with Voiced Changeable Names', 'Romance', 'Dating Simulation', 'Map Movement', 'Student Heroine', 'Student Protagonist', 'ADV', 'Multiple Endings', 'High School', 'Male Protagonist', 'Only Virgin Heroines', 'Slice of Life', 'Coodere Heroine', 'Emotionless Heroine', 'Energetic Heroine', 'Heroine with Big Breasts', 'Heroine with Huge Breasts', 'Heroine with Small Breasts (Non-Loli)', 'High School Student Heroine', 'Miko Heroine', 'Naked Sprites', ""Protagonist's Pronoun Choice"", 'Unlockable Choices', 'Nameable Protagonist']"
385,Cinderella Phenomenon,2017-04-04,7.67,4.59,Medium,"['Princess Protagonist', 'Otome Game', 'Curse', 'Fairy Tale', 'Romance', 'Hero(ine) Selection', 'Nameable Protagonist', 'Past Setting in a Fictional World', 'Strong Female Protagonist', 'Branching Plot', 'Fairies', 'No Sexual Content', 'Royal Hero', 'Correct Choice Indicator', 'Achievements', 'Bad Endings with Story', 'Enforced Playing Order', 'Fairy Support Character', 'Music Recollection', 'Protagonist with a Face', 'White Haired Hero', 'ADV', 'Arrogant Protagonist', 'Female Protagonist', 'Half-orphan Protagonist', 'Medieval Fantasy', 'Multiple Route Mystery', 'Proactive Protagonist', 'Unique Routes', 'Varied Title Screens']"
386,Sakura Sakura,2009-06-26,7.08,4.59,Long,"['Adult Heroine', 'Artist Heroine', 'Enforced Playing Order', 'Lots of Choices', 'Mischievous Protagonist', 'Multiple Common Routes', 'Multiple Endings', 'Perverted Protagonist', 'Protagonist Selection', 'Protagonist with a Face', 'Protagonist with a Sprite', 'Pure Love Story', 'Romance', 'Slice of Life Comedy', 'Teacher Heroine', 'Transfer Student Protagonist', 'Unlockable Hero(ine)', 'Unlockable Protagonist', 'Unlockable Routes', 'Varied Title Screens', 'ADV', 'Branching Plot', 'Lip Sync', 'Lots of Character Sprites', 'Male Protagonist', 'Love Triangle', 'School Life Comedy', 'Under the Same Roof', 'Heroine with Eye Covering Hairstyle', 'Athlete Heroine']"
387,BALDR FORCE,2002-11-01,7.37,4.57,Long,"['Action Game', ""Beat 'em Up"", 'Cyberpunk', 'Mecha Combat', 'Multiple Route Mystery', 'Playtime Counter', 'Revenge', 'Shooter Game', 'Unlockable Choices', 'Unlockable Event', 'Fighting Heroine', 'Hacker Protagonist', 'Hard Science Fiction', 'Bad Endings with Story', 'Unlockable Routes', 'Built-in Flowchart', 'Male Protagonist', 'Protagonist with a Face', 'Virtual Reality', 'ADV', 'Hacker Heroine', 'Protagonist with Voice Acting', 'Unique Routes', 'Fighting Protagonist', 'Military', 'Multiple Endings', 'Duel', 'Life and Death Drama', 'Soldier Protagonist', 'Future Earth']"
388,Mashiro Iro Symphony,2009-10-30,7.51,4.57,Medium,"[""Protagonist's Younger Sister as a Heroine"", 'Male Protagonist', 'Former All-girls School', 'Romance', 'ADV', 'Classic Tsundere Heroine', ""Super Deformed CG's"", 'Maid Heroine', 'Cats', 'High School Student Protagonist', 'Pure Love Story', 'Student Heroine', 'High School', 'Branching Plot', 'Multiple Endings', 'Fictional Modern Day Japanese Town', 'Winter', 'Other Perspectives', 'Ojousama Heroine', 'Brocon Heroine', 'Few Choices', 'Has Window Transparency Setting']"
389,Bishoujo Mangekyou -Tsumi to Batsu no Shoujo-,2017-07-28,7.37,4.57,Short,"['Trap Protagonist', 'Siscon Protagonist', 'Brocon Heroine', 'Central Heroine', 'Cross-dressing', 'ADV', 'High Amount of Special Effects', 'Music Recollection', ""Protagonist's Twin as a Heroine"", 'Changeable Font', 'Close-up CGs', 'Colored Name-tags', 'Half-orphan Heroine', 'Half-orphan Protagonist', 'One True End', ""Protagonist's Older Sister as a Heroine"", 'Protagonist with Voice Acting', 'Romance', 'Student Heroine', 'Family', 'Father Support Character', 'Male Protagonist', 'Timid Protagonist', 'Naked Sprites', 'Animated Ending', 'No Opening Movie', 'Varied Title Screens', 'Other Perspectives', 'Unlockable Event', 'Unlockable Gallery']"
390,Amatsutsumi,2016-07-29,7.69,4.56,Long,"['Ladder Structure', 'Floating Textbox', 'Male Protagonist', 'Summer', 'Romance', 'Superpowers', 'Few Choices', 'Heroine with Inverted Nipples', 'Multiple Endings', ""Protagonist's Fiancee as a Heroine"", 'Episodic Story', 'Imouto-type Heroine', ""Protagonist's Childhood Friend as a Heroine"", ""Protagonist's Kouhai as a Heroine"", 'Protagonist with Sexual Experience', 'Protagonist with a Face', 'ADV', 'Backlog Jump', 'Brocon Heroine', 'Brother/Sister Romance', 'Central Heroine', 'Fictional Modern Day Japanese Town', 'Heroine with Big Breasts', 'Multiple Route Mystery', 'Changeable Font', 'Other Perspectives']"
391,Rance III - Leazas Kanraku -,1991-10-15,6.51,4.56,Medium,"['Antihero Protagonist', 'Arrogant Protagonist', 'Fantasy', 'Game Over', 'Heroine with Sexual Experience', 'Interactive Adventure Game', 'Linear Plot', 'Magic', 'Mercenary Protagonist', 'Past Setting in a Fictional World', 'Pixel Art', 'Protagonist with a Face', 'Protagonist with Sexual Experience', 'Side Portraits', 'Single Ending', 'Sword Wielding Protagonist', 'Fictional World', 'Fighting Protagonist', 'Male Protagonist', 'Nympho Protagonist', 'Sword Combat', 'Combat Capable Friends', 'Map Movement', 'SRPG', 'ADV', 'No Auto Function', 'No Backlog', 'No Quick Save/Load', 'No Skip Function', 'Brief NVL Scenes']"
392,Sakura Spirit,2014-07-09,5.19,4.55,Short,"['Flat Tints Only', 'Linear Plot', 'Martial Artist Protagonist', 'Past Setting in a Fictional World', 'No Sexual Content', 'Male Protagonist', 'ADV', 'Few Choices', 'Heroine with Zettai Ryouiki', 'Only Good Endings', 'Brief Branches Only', 'Colored Name-tags', 'No Opening Movie', 'Stockings', 'Kitsune Heroine', 'Sword Wielding Heroine', 'Fictional World', 'Kemonomimi Heroine', 'Sexual Innuendo', 'Braless Heroine', 'Countryside', 'Few Event CGs', 'Late Branching Plot', 'Monster Girl Heroine', 'Student Protagonist', 'Twin Tail Heroine', 'Unlockable Gallery']"
393,Study § Steady,2019-09-27,6.97,4.55,Medium,"['High School Student Heroine', 'Kissing Scene', 'Lip Sync', 'Slice of Life', 'Winter', 'Highly Animated Sprites', 'Archer Heroine', 'Artificial Intelligence', 'Male Protagonist', 'Multiple Endings', ""Protagonist's Kouhai as a Heroine"", ""Protagonist's Senpai as a Heroine"", 'Protagonist with Voiced Changeable Names', 'Stockings', 'Transfer Student Protagonist', 'Only Virgin Heroines', 'High School Student Protagonist', 'ADV', 'Backlog Jump', 'Coodere Heroine', 'Donkan Protagonist', 'Few Choices', 'Hairstyle Option', 'Nameable Protagonist']"
394,Yandere,2007-08-17,5.20,4.54,Short,"['High School Student Heroine', 'Unoriginal Soundtrack', 'Yandere Heroine', 'Foolish Protagonist', 'Jealousy', 'Nympho Heroine', 'Bloody Scenes', 'High Amount of Bad Endings', 'Violence', 'High School Student Protagonist', 'ADV', 'Graphic Violence', 'Student Heroine', 'Gore', 'High School', 'Multiple Endings', 'Only Virgin Heroines', 'Male Protagonist', 'Bad Ending(s)', 'More Than Seven Endings', 'Horror', 'Game Over', 'Varying Ending Songs', 'Side Portraits', 'Bad Endings with Story', 'Branching Plot', 'Long Common Route', 'Pre-rendered Backgrounds', 'Other Perspectives', 'Protagonist with a Face']"
395,Taimanin Asagi 2,2006-10-21,6.54,4.54,Medium,"['Heroine with Catsuit', 'Prostitution', 'Female Protagonist', 'Fighting Heroine', 'Ninja Protagonist', 'Kunoichi Heroine', 'Big Breast Sizes Protagonist', 'Big Breast Sizes Heroine', 'Protagonist with a Face', 'Protagonist with Voice Acting', 'Torture', 'ADV', 'Breast Expansion', 'Future Japan', 'Future Tokyo', 'Bad Ending(s)', 'Bad Endings with Story', 'Big Ass Protagonist', 'Braless Heroine', 'Branching Plot', 'Fictional Island Near Futuristic Japan', 'Multiple Endings', 'One True End']"
396,Sisters ~Natsu no Saigo no Hi~,2011-04-28,7.44,4.53,Short,"['Heisei Era', 'Linear Plot', 'Nameable Protagonist', 'Slice of Life Drama', 'Interactive Movie', 'Meaningless Choices', 'Protagonist with a Face', 'Male Protagonist', 'Student Heroine', 'Countryside', 'Single Ending', 'Under the Same Roof', 'ADV', 'Date Display', 'Family', 'Flashback', 'Flat Tints Only', 'Food Discussions', 'Heroine with Big Breasts', 'Heroine with Jeans', 'Heroine with Sexual Experience', 'Love Triangle', 'Musician Protagonist', 'Other Perspectives', ""Protagonist's Half-sister as a Heroine""]"
397,Tenshin Ranman Lucky or Unlucky!?,2009-05-29,7.37,4.53,Long,"['Extremely (un)Lucky Protagonist', 'Only Virgin Heroines', ""Super Deformed CG's"", 'School', 'Brother/Sister Romance', 'Branching Plot', 'Multiple Endings', 'Brocon Heroine', 'Kemonomimi Heroine', 'Map Movement', 'ADV', 'Protagonist with a Face', 'Under the Same Roof', 'Male Protagonist', 'Deredere Heroine', ""Protagonist's Childhood Friend as a Heroine"", 'Goddess Heroine', 'School Life Comedy', 'Genius Heroine', 'Kitsune Heroine', 'Modern Day Japan', 'Skip Scenes', 'Has Window Transparency Setting', 'Jump to Next Choice', 'Jump to Prior Choices', 'Music Recollection', 'Protagonist with a Sprite', 'Side Portraits']"
398,"Kitto, Sumiwataru Asairo Yori mo,",2009-07-24,7.95,4.52,Long,"['Friendship', 'Kanji Puns', 'Protagonist with Voice Acting', 'Reunion', 'Slice of Life', 'Autumn', 'Group of Friends', 'Flashback', 'Drama', ""Protagonist's Childhood Friend as a Heroine"", 'Linear Plot', 'Male Protagonist', 'White Haired Heroine', 'Brief NVL Scenes', 'ADV', ""Super Deformed CG's"", 'Artist Protagonist', 'Japanese Mythology', 'Brief Branches Only', 'Other Perspectives', 'Donkan Protagonist', 'Protagonist with a Face', 'Changeable Font', 'Heroine with Flat Chest (Non-Loli)', 'Brief Third-person Narrative Sections', 'Graphic Style Change']"
399,Yuki Koi Melt,2015-03-27,6.90,4.52,Medium,"['Coodere Heroine', 'High School Student Heroine', 'Kemonomimi Heroine', 'Slice of Life', ""Super Deformed CG's"", 'ADV', 'Male Protagonist', 'Student Heroine', 'Student Protagonist', 'Energetic Heroine', 'Heroine with a Fang', 'Multiple Endings', 'Oneesan-type Heroine', 'Onsen', 'Perverted Heroine', 'Winter', 'Comedy', 'Few Choices', 'Heroine with Zettai Ryouiki', 'Branching Plot', 'Long Common Route', 'Naked Sprites', 'Bleep Censor']"
400,HaremKingdom,2020-02-28,7.13,4.51,Medium,"['Castle', 'Fictional World', 'Maid Heroine', 'Nameable Protagonist', 'Ojousama Heroine', 'Polyamory', 'Polygamy', 'Princess Heroine', ""Protagonist's Fiancee as a Heroine"", 'Slave Heroine', 'Unavoidable Harem Ending', 'Under the Same Roof', 'Wedding', 'Protagonist from a Different World', ""Protagonist's Childhood Friend as a Heroine"", 'King Protagonist', 'Only Virgin Heroines', 'ADV', 'Alternate Starting Point', 'Backlog Jump', 'Branching Plot', 'Changeable Font', 'Choices with 4 or More Options', 'Colored Name-tags', 'Colored Texts', 'Jump to Next Choice', 'Multiple Endings', 'Music Recollection', 'Naked Sprites', 'Nude Filter']"
401,Kemono Musume no Sodatekata,2018-09-28,6.89,4.51,Medium,"['Kemonomimi Heroine', 'Romance', 'Under the Same Roof', 'No Common Sense Heroine', 'Linear Plot', ""Protagonist's Childhood Friend as a Heroine"", 'ADV', 'Fictional Modern Day Japanese Countryside', 'Heroine with a Fang', 'Heroine with Big Breasts', 'Male Protagonist', 'Student Heroine', 'Student Protagonist', 'Loli Support Character', ""Protagonist's Sister as a Support Character"", 'Nurse Support Character']"
402,Ouka Sabaki,2017-02-24,7.40,4.49,Long,"['ADV', 'Bakumatsu Era', 'Courtroom', 'Flashback', 'Heroine with Kimono', 'Interactive Adventure Game', 'Male Protagonist', 'Shinsengumi', 'Under the Same Roof', 'Vertically Oriented Text', 'Detective Work', 'Unlockable Routes', 'Episodic Story', 'Friendship Ending', 'Government', 'Graphic Style Change', 'Leader Protagonist', 'Murder Mystery', 'Protagonist with a Face', 'Sword Combat', 'White Haired Heroine', ""Protagonist's Childhood Friend as a Heroine"", 'Protagonist with Glasses', 'Unlockable Epilogue', ""Super Deformed CG's"", 'Ending Scene Recollection', 'Location Display', 'Lots of Character Sprites', 'Lots of Event CGs', 'Mid-game Videos']"
403,Boku to Koi Suru Ponkotsu Akuma. Suggoi Ecchi!,2016-05-27,7.12,4.47,Medium,"['Backlog Jump', 'High School Student Heroine', 'Angel Heroine', 'Brother/Sister Romance', 'Chinese Heroine', 'Forbidden Love', 'Harem Ending', ""Heroine's Mother as a Heroine"", 'Heroine with Big Breasts', 'Kemonomimi Heroine', 'Marriage Ending', 'Mother Support Character', 'Mummy', 'Naked Heroine with Apron', 'Perverted Heroine', 'Protagonist as the Only Male', ""Protagonist's Non-blood-related Sister as a Heroine"", ""Protagonist's Younger Sister as a Heroine"", 'Sprite Viewer', 'ADV', 'Naked Sprites', ""Super Deformed CG's""]"
404,Sugar's Delight,2011-12-03,5.96,4.47,Very short,"['Kinetic Novel', 'Female Protagonist', 'Protagonist with a Face', 'Only a Single Heroine', 'Lesbian Heroine', 'Girl x Girl Romance Only', 'ADV', 'Cook Heroine', 'Co-worker Heroine', 'Cook Protagonist', 'Under the Same Roof', 'Modern Day Earth', 'Baker Heroine', 'Baker Protagonist', 'Protagonist with a Sprite', 'Girl x Girl Romance', ""Super Deformed CG's"", 'Lots of Event CGs']"
405,Fureraba ~Friend to Lover~ Mini Fandisk,2014-08-15,7.26,4.46,Short,"['Few Choices', 'Protagonist in Relationship', 'Scenario Selection', 'Student Heroine', 'ADV', 'Male Protagonist', ""Protagonist's Girlfriend as a Heroine"", 'Student Protagonist', 'Classic Tsundere Heroine', 'Food Discussions', 'Hairstyle Option', 'Heroine with a Fang', 'Heroine with Big Breasts', 'Heroine with Sexual Experience', 'High School Student Heroine', 'Linear Plot', 'Nameable Protagonist', ""Protagonist's Childhood Friend as a Heroine"", ""Protagonist's Senpai as a Heroine"", 'Protagonist with Sexual Experience', 'Slice of Life Comedy', 'Side Portraits', 'Naked Sprites']"
